!! YAML file for Class AA verbs

gatáa+V+SINGULAR+IMPERATIVE: gatáa
: gatáaga                          gatáa+V+IMMEDIATE+PRESENT
: tla çu'áng'aawaa'ahlanggaa        tla çu+V+NEGATIVE+3rd_PERSON_PLURAL+SHOULD_KEEP_ON_VERBING_FOR_A_WHILE
: tla çu'áng'aawaa'ahlanggang       tla çu+V+NEGATIVE+3rd_PERSON_PLURAL+COUNTERFACTUAL+PRESENT
: tla çu'áng'waa'ahl                tla çu+V+NEGATIVE+3rd_PERSON_PLURAL+REFLEXIVE
: tla çu'áng'waaäseehl              tla çu+V+NEGATIVE+3rd_PERSON_PLURAL+FUTURE+REFLEXIVE+INTERROGATIVE

! LEXICON CLASS_UD_STEM_1

: díigud                            díigud+V+SINGULAR+IMPERATIVE
: díigud                            díigud+V+INTERROGATIVE+SIMPLE+PRESENT
: díigudaa                          díigud+V+INTERROGATIVE+PAST
: díigudaan                         díigud+V+INDIRECT+PAST
: díiguds                           díigud+V+RELATIVE
: díigudaas                         díigud+V+RELATIVE+EVIDENTIAL
: díigudaa.ang                      díigud+V+PAST+NON_FACTIVE
: díigudäsaa                        díigud+V+INTERROGATIVE+FUTURE+LONG
: díigudäs                          díigud+V+INTERROGATIVE+FUTURE+SHORT
: díigudäsaang                      díigud+V+SIMPLE+FUTURE
: díigudäsga                        díigud+V+IMMEDIATE+FUTURE
: díigudäsaas                       díigud+V+RELATIVE+FUTURE
: díigudäsaa.ang                    díigud+V+FUTURE+NON_FACTIVE
: díigud'uuj                        díigud+V+BIASED+IMMEDIATE+PRESENT
: díigud'uujang                     díigud+V+BIASED+SIMPLE+PRESENT
: díigudäsaa'uujang                 díigud+V+RESIGNED_OBLIGATION
: díigud'us                         díigud+V+BIASED+INTERROGATIVE+PRESENT
: díigud'ujaa                       díigud+V+BIASED+INTERROGATIVE+PAST
: díigud'uujaangaa                  díigud+V+BIASED+INTERROGATIVE+PAST+HABITUAL
: díigudäsaa'us                     díigud+V+BIASED+INTERROGATIVE+FUTURE
: díigudäsaa'ahlans                 díigud+V+CERTAIN+FUTURE
: díigudäseehl                      díigud+V+FUTURE+REFLEXIVE+INTERROGATIVE
: díigud'uu                         díigud+V+PLURAL+IMPERATIVE
: díigud'waa                        díigud+V+3rd_PERSON_PLURAL+IMMEDIATE+PRESENT
: díigud'waa                        díigud+V+3rd_PERSON_PLURAL+INTERROGATIVE+SIMPLE+PRESENT
: díigud'waang                      díigud+V+3rd_PERSON_PLURAL+SIMPLE+PRESENT
: díigud'wägan                      díigud+V+3rd_PERSON_PLURAL+DIRECT+PAST
: díigud'aawaa                      díigud+V+3rd_PERSON_PLURAL+INTERROGATIVE+PAST
: díigud'aawaan                     díigud+V+3rd_PERSON_PLURAL+INDIRECT+PAST
: díigud'waas                       díigud+V+3rd_PERSON_PLURAL+RELATIVE
: díigud'aawaas                     díigud+V+3rd_PERSON_PLURAL+RELATIVE+EVIDENTIAL
: díigud'waa.ang                    díigud+V+3rd_PERSON_PLURAL+NON_FACTIVE
: díigud'aawaa.ang                  díigud+V+3rd_PERSON_PLURAL+PAST+NON_FACTIVE
: díigud'wägiinii                   díigud+V+3rd_PERSON_PLURAL+DIRECT+PAST+HABITUAL
: díigud'wägaangaa                  díigud+V+3rd_PERSON_PLURAL+INTERROGATIVE+PAST+HABITUAL
: díigud'wägaangaan                 díigud+V+3rd_PERSON_PLURAL+INDIRECT+PAST+HABITUAL
: díigud'waaäsaa                    díigud+V+3rd_PERSON_PLURAL+INTERROGATIVE+FUTURE+LONG
: díigud'waaäs                      díigud+V+3rd_PERSON_PLURAL+INTERROGATIVE+FUTURE+SHORT
: díigud'waaäsaang                  díigud+V+3rd_PERSON_PLURAL+SIMPLE+FUTURE
: díigud'waaäsga                    díigud+V+3rd_PERSON_PLURAL+IMMEDIATE+FUTURE
: díigud'waaäsaas                   díigud+V+3rd_PERSON_PLURAL+RELATIVE+FUTURE
: díigud'waaäsaa.ang                díigud+V+3rd_PERSON_PLURAL+FUTURE+NON_FACTIVE
: díigud'waa.ang ñasa'áa            díigud+V+3rd_PERSON_PLURAL+INTERROGATIVE+NEAR+FUTURE
: díigud'waa.ang ñasa'áang          díigud+V+3rd_PERSON_PLURAL+NEAR+FUTURE
: díigud'waa.ang ñasaasdláa         díigud+V+3rd_PERSON_PLURAL+INTERROGATIVE+VERYNEAR+FUTURE
: díigud'waa.ang ñasaasdláang       díigud+V+3rd_PERSON_PLURAL+VERYNEAR+FUTURE
: díigud'waa'uuj                    díigud+V+3rd_PERSON_PLURAL+BIASED+IMMEDIATE+PRESENT
: díigud'waa'uujang                 díigud+V+3rd_PERSON_PLURAL+BIASED+SIMPLE+PRESENT
: díigud'waaäsaa'uujang             díigud+V+3rd_PERSON_PLURAL+RESIGNED_OBLIGATION
: díigud'waa'us                     díigud+V+3rd_PERSON_PLURAL+BIASED+INTERROGATIVE+PRESENT
: díigud'waa'ujaa                   díigud+V+3rd_PERSON_PLURAL+BIASED+INTERROGATIVE+PAST
: díigud'waa'uujaangaa              díigud+V+3rd_PERSON_PLURAL+BIASED+INTERROGATIVE+PAST+HABITUAL
: díigud'waaäsaa'us                 díigud+V+3rd_PERSON_PLURAL+BIASED+INTERROGATIVE+FUTURE
: díigud'waa'ahlanggang             díigud+V+3rd_PERSON_PLURAL+CERTAIN+PRESENT
: díigud'waa'ahlanggan              díigud+V+3rd_PERSON_PLURAL+CERTAIN+PAST
: díigud'waa'ahlanggiinii           díigud+V+3rd_PERSON_PLURAL+CERTAIN+PAST+HABITUAL
: díigud'waaäsaa'ahlans             díigud+V+3rd_PERSON_PLURAL+CERTAIN+FUTURE
: díigud'waa'ahlans                 díigud+V+3rd_PERSON_PLURAL+CERTAIN+RELATIVE
: díigud'aawaa'ahlang               díigud+V+3rd_PERSON_PLURAL+INTENSIVE+PAST
: díigud'aawaa'ahlanggaa            díigud+V+3rd_PERSON_PLURAL+SHOULD_KEEP_ON_VERBING_FOR_A_WHILE
: díigud'aawaa'ahlanggang           díigud+V+3rd_PERSON_PLURAL+COUNTERFACTUAL+PRESENT
: díigud'waa'ahl                    díigud+V+3rd_PERSON_PLURAL+REFLEXIVE
: díigud'waaäseehl                  díigud+V+3rd_PERSON_PLURAL+FUTURE+REFLEXIVE+INTERROGATIVE
: díigud'ang                        díigud+V+NEGATIVE+SINGULAR+IMPERATIVE
: díigud'angga                      díigud+V+NEGATIVE+IMMEDIATE+PRESENT
: díigud'ang                        díigud+V+NEGATIVE+INTERROGATIVE+SIMPLE+PRESENT
: díigud'anggang                    díigud+V+NEGATIVE+SIMPLE+PRESENT
: díigud'anggan                     díigud+V+NEGATIVE+DIRECT+PAST
: díigud'aangaa                     díigud+V+NEGATIVE+INTERROGATIVE+PAST
: díigud'aangaan                    díigud+V+NEGATIVE+INDIRECT+PAST
: díigud'ans                        díigud+V+NEGATIVE+RELATIVE
: díigud'aangaas                    díigud+V+NEGATIVE+RELATIVE+EVIDENTIAL
: díigud'angang                     díigud+V+NEGATIVE+NON_FACTIVE
: díigud'aangaa.ang                 díigud+V+NEGATIVE+PAST+NON_FACTIVE
: díigud'anggang                    díigud+V+NEGATIVE+INTERROGATIVE+PRESENT+HABITUAL
: díigud'anggiinii                  díigud+V+NEGATIVE+DIRECT+PAST+HABITUAL
: díigud'anggaangaa                 díigud+V+NEGATIVE+INTERROGATIVE+PAST+HABITUAL
: díigud'anggaangaan                díigud+V+NEGATIVE+INDIRECT+PAST+HABITUAL
: díigud'angäsaa                    díigud+V+NEGATIVE+INTERROGATIVE+FUTURE+LONG
: díigud'angäs                      díigud+V+NEGATIVE+INTERROGATIVE+FUTURE+SHORT
: díigud'angäsaang                  díigud+V+NEGATIVE+SIMPLE+FUTURE
: díigud'angäsga                    díigud+V+NEGATIVE+IMMEDIATE+FUTURE
: díigud'angäsaas                   díigud+V+NEGATIVE+RELATIVE+FUTURE
: díigud'angäsaa.ang                díigud+V+NEGATIVE+FUTURE+NON_FACTIVE
: díigud'ang'uuj                    díigud+V+NEGATIVE+BIASED+IMMEDIATE+PRESENT
: díigud'ang'uujang                 díigud+V+NEGATIVE+BIASED+SIMPLE+PRESENT
: díigud'angäsaa'uujang             díigud+V+NEGATIVE+RESIGNED_OBLIGATION
: díigud'ang'us                     díigud+V+NEGATIVE+BIASED+INTERROGATIVE+PRESENT
: díigud'ang'ujaa                   díigud+V+NEGATIVE+BIASED+INTERROGATIVE+PAST
: díigud'ang'uujaangaa              díigud+V+NEGATIVE+BIASED+INTERROGATIVE+PAST+HABITUAL
: díigud'angäsaa'us                 díigud+V+NEGATIVE+BIASED+INTERROGATIVE+FUTURE
: díigud'aang'ahlanggang            díigud+V+NEGATIVE+CERTAIN+PRESENT
: díigud'aang'ahlanggan             díigud+V+NEGATIVE+CERTAIN+PAST
: díigud'aang'ahlanggiinii          díigud+V+NEGATIVE+CERTAIN+PAST+HABITUAL
: díigud'angäsaa'ahlans             díigud+V+NEGATIVE+CERTAIN+FUTURE
: díigud'aang'ahlans                díigud+V+NEGATIVE+CERTAIN+RELATIVE
: díigud'aangaa'ahlang              díigud+V+NEGATIVE+INTENSIVE+PAST
: díigud'aangaa'ahlanggaa           díigud+V+NEGATIVE+SHOULD_KEEP_ON_VERBING_FOR_A_WHILE
: díigud'aangaa'ahlanggang          díigud+V+NEGATIVE+COUNTERFACTUAL+PRESENT
: díigud'aang'ahl                   díigud+V+NEGATIVE+REFLEXIVE
: díigud'angäseehl                  díigud+V+NEGATIVE+FUTURE+REFLEXIVE+INTERROGATIVE
: díigud'ang'uu                     díigud+V+NEGATIVE+PLURAL+IMPERATIVE
: díigud'ang'waa                    díigud+V+NEGATIVE+3rd_PERSON_PLURAL+IMMEDIATE+PRESENT
: díigud'ang'waa                    díigud+V+NEGATIVE+3rd_PERSON_PLURAL+INTERROGATIVE+SIMPLE+PRESENT
: díigud'ang'waang                  díigud+V+NEGATIVE+3rd_PERSON_PLURAL+SIMPLE+PRESENT
: díigud'ang'wägan                  díigud+V+NEGATIVE+3rd_PERSON_PLURAL+DIRECT+PAST
: díigud'ang'aawaa                  díigud+V+NEGATIVE+3rd_PERSON_PLURAL+INTERROGATIVE+PAST
: díigud'ang'aawaan                 díigud+V+NEGATIVE+3rd_PERSON_PLURAL+INDIRECT+PAST
: díigud'ang'waas                   díigud+V+NEGATIVE+3rd_PERSON_PLURAL+RELATIVE
: díigud'ang'aawaas                 díigud+V+NEGATIVE+3rd_PERSON_PLURAL+RELATIVE+EVIDENTIAL
: díigud'ang'waa.ang                díigud+V+NEGATIVE+3rd_PERSON_PLURAL+NON_FACTIVE
: díigud'ang'aawaa.ang              díigud+V+NEGATIVE+3rd_PERSON_PLURAL+PAST+NON_FACTIVE
: díigud'ang'wägiinii               díigud+V+NEGATIVE+3rd_PERSON_PLURAL+DIRECT+PAST+HABITUAL
: díigud'ang'wägaangaa              díigud+V+NEGATIVE+3rd_PERSON_PLURAL+INTERROGATIVE+PAST+HABITUAL
: díigud'ang'wägaangaan             díigud+V+NEGATIVE+3rd_PERSON_PLURAL+INDIRECT+PAST+HABITUAL
: díigud'ang'waaäsaa                díigud+V+NEGATIVE+3rd_PERSON_PLURAL+INTERROGATIVE+FUTURE+LONG
: díigud'ang'waaäs                  díigud+V+NEGATIVE+3rd_PERSON_PLURAL+INTERROGATIVE+FUTURE+SHORT
: díigud'ang'waaäsaang              díigud+V+NEGATIVE+3rd_PERSON_PLURAL+SIMPLE+FUTURE
: díigud'ang'waaäsga                díigud+V+NEGATIVE+3rd_PERSON_PLURAL+IMMEDIATE+FUTURE
: díigud'ang'waaäsaas               díigud+V+NEGATIVE+3rd_PERSON_PLURAL+RELATIVE+FUTURE
: díigud'ang'waaäsaa.ang            díigud+V+NEGATIVE+3rd_PERSON_PLURAL+FUTURE+NON_FACTIVE
: díigud'waa.ang ñasaa'áng          díigud+V+NEGATIVE+3rd_PERSON_PLURAL+INTERROGATIVE+NEAR+FUTURE
: díigud'waa.ang ñasaa'ánggang      díigud+V+NEGATIVE+3rd_PERSON_PLURAL+NEAR+FUTURE
: díigud'waa.ang ñasaasdlä'áng      díigud+V+NEGATIVE+3rd_PERSON_PLURAL+INTERROGATIVE+VERYNEAR+FUTURE
: díigud'waa.ang ñasaasdlä'ánggang  díigud+V+NEGATIVE+3rd_PERSON_PLURAL+VERYNEAR+FUTURE
: díigud'ang'waa'uuj                díigud+V+NEGATIVE+3rd_PERSON_PLURAL+BIASED+IMMEDIATE+PRESENT
: díigud'ang'waa'uujang             díigud+V+NEGATIVE+3rd_PERSON_PLURAL+BIASED+SIMPLE+PRESENT
: díigud'ang'waaäsaa'uujang         díigud+V+NEGATIVE+3rd_PERSON_PLURAL+RESIGNED_OBLIGATION
: díigud'ang'waa'us                 díigud+V+NEGATIVE+3rd_PERSON_PLURAL+BIASED+INTERROGATIVE+PRESENT
: díigud'ang'waa'ujaa               díigud+V+NEGATIVE+3rd_PERSON_PLURAL+BIASED+INTERROGATIVE+PAST
: díigud'ang'waa'uujaangaa          díigud+V+NEGATIVE+3rd_PERSON_PLURAL+BIASED+INTERROGATIVE+PAST+HABITUAL
: díigud'ang'waaäsaa'us             díigud+V+NEGATIVE+3rd_PERSON_PLURAL+BIASED+INTERROGATIVE+FUTURE
: díigud'ang'waa'ahlanggang         díigud+V+NEGATIVE+3rd_PERSON_PLURAL+CERTAIN+PRESENT
: díigud'ang'waa'ahlanggan          díigud+V+NEGATIVE+3rd_PERSON_PLURAL+CERTAIN+PAST
: díigud'ang'waa'ahlanggiinii       díigud+V+NEGATIVE+3rd_PERSON_PLURAL+CERTAIN+PAST+HABITUAL
: díigud'ang'waaäsaa'ahlans         díigud+V+NEGATIVE+3rd_PERSON_PLURAL+CERTAIN+FUTURE
: díigud'ang'waa'ahlans             díigud+V+NEGATIVE+3rd_PERSON_PLURAL+CERTAIN+RELATIVE
: díigud'ang'aawaa'ahlang           díigud+V+NEGATIVE+3rd_PERSON_PLURAL+INTENSIVE+PAST
: díigud'ang'aawaa'ahlanggaa        díigud+V+NEGATIVE+3rd_PERSON_PLURAL+SHOULD_KEEP_ON_VERBING_FOR_A_WHILE
: díigud'ang'aawaa'ahlanggang       díigud+V+NEGATIVE+3rd_PERSON_PLURAL+COUNTERFACTUAL+PRESENT
: díigud'ang'waa'ahl                díigud+V+NEGATIVE+3rd_PERSON_PLURAL+REFLEXIVE
: díigud'ang'waaäseehl              díigud+V+NEGATIVE+3rd_PERSON_PLURAL+FUTURE+REFLEXIVE+INTERROGATIVE

! LEXICON CLASS_UD_STEM_2

: díigwiida                           díigud+V+IMMEDIATE+PRESENT
: díigwiidang                         díigud+V+SIMPLE+PRESENT
: díigwiidan                          díigud+V+DIRECT+PAST
: díigwiidang                         díigud+V+NON_FACTIVE
: díigwiidang                         díigud+V+INTERROGATIVE+PRESENT+HABITUAL
: díigwiidanggang                     díigud+V+PRESENT+HABITUAL
: díigwiidangang                      díigud+V+PRESENT+HABITUAL+NON_FACTIVE
: díigwiidiinii                       díigud+V+DIRECT+PAST+HABITUAL
: díigwiidaangaa                      díigud+V+INTERROGATIVE+PAST+HABITUAL
: díigwiidaangaan                     díigud+V+INDIRECT+PAST+HABITUAL
: díigwiidang ñasa'áa                 díigud+V+INTERROGATIVE+NEAR+FUTURE
: díigwiidang ñasa'áang               díigud+V+NEAR+FUTURE
: díigwiidang ñasaasdláa              díigud+V+INTERROGATIVE+VERYNEAR+FUTURE
: díigwiidang ñasaasdláang            díigud+V+VERYNEAR+FUTURE
: díigwiid'ahlanggang                 díigud+V+CERTAIN+PRESENT
: díigwiid'ahlanggan                  díigud+V+CERTAIN+PAST
: díigwiid'ahlanggiinii               díigud+V+CERTAIN+PAST+HABITUAL
: díigwiid'ahlans                     díigud+V+CERTAIN+RELATIVE
: díigwiidaa'ahlang                   díigud+V+INTENSIVE+PAST
: díigwiidaa'ahlanggaa                díigud+V+SHOULD_KEEP_ON_VERBING_FOR_A_WHILE
: díigwiidaa'ahlanggang               díigud+V+COUNTERFACTUAL+PRESENT
: díigwiid'ahl                        díigud+V+REFLEXIVE
: díigwiidang'waa                     díigud+V+3rd_PERSON_PLURAL+INTERROGATIVE+PRESENT+HABITUAL
: díigwiidang'waang                   díigud+V+3rd_PERSON_PLURAL+PRESENT+HABITUAL
: díigwiidang'waa.ang                 díigud+V+3rd_PERSON_PLURAL+PRESENT+HABITUAL+NON_FACTIVE
: díigwiidang'anggang                 díigud+V+NEGATIVE+PRESENT+HABITUAL
: díigwiidang'angang                  díigud+V+NEGATIVE+PRESENT+HABITUAL+NON_FACTIVE
: díigwiidang ñasaa'áng               díigud+V+NEGATIVE+INTERROGATIVE+NEAR+FUTURE
: díigwiidang ñasaa'ánggang           díigud+V+NEGATIVE+NEAR+FUTURE
: díigwiidang ñasaasdlä'áng           díigud+V+NEGATIVE+INTERROGATIVE+VERYNEAR+FUTURE
: díigwiidang ñasaasdlä'ánggang       díigud+V+NEGATIVE+VERYNEAR+FUTURE
: díigwiidang'ang'waa                 díigud+V+NEGATIVE+3rd_PERSON_PLURAL+INTERROGATIVE+PRESENT+HABITUAL
: díigwiidang'ang'waang               díigud+V+NEGATIVE+3rd_PERSON_PLURAL+PRESENT+HABITUAL
: díigwiidang'ang'waa.ang             díigud+V+NEGATIVE+3rd_PERSON_PLURAL+PRESENT+HABITUAL+NON_FACTIVE

! LEXICON CLASS_UHL_STEM_1

: ñáaguhl                            ñáaguhl+V+SINGULAR+IMPERATIVE
: ñáaguhl                            ñáaguhl+V+INTERROGATIVE+SIMPLE+PRESENT
: ñáaguhls                           ñáaguhl+V+RELATIVE
: ñáaguhläsaa                        ñáaguhl+V+INTERROGATIVE+FUTURE+LONG
: ñáaguhläs                          ñáaguhl+V+INTERROGATIVE+FUTURE+SHORT
: ñáaguhläsaang                      ñáaguhl+V+SIMPLE+FUTURE
: ñáaguhläsga                        ñáaguhl+V+IMMEDIATE+FUTURE
: ñáaguhläsaas                       ñáaguhl+V+RELATIVE+FUTURE
: ñáaguhläsaa.ang                    ñáaguhl+V+FUTURE+NON_FACTIVE
: ñáaguhl'uuj                        ñáaguhl+V+BIASED+IMMEDIATE+PRESENT
: ñáaguhl'uujang                     ñáaguhl+V+BIASED+SIMPLE+PRESENT
: ñáaguhläsaa'uujang                 ñáaguhl+V+RESIGNED_OBLIGATION
: ñáaguhl'us                         ñáaguhl+V+BIASED+INTERROGATIVE+PRESENT
: ñáaguhl'ujaa                       ñáaguhl+V+BIASED+INTERROGATIVE+PAST
: ñáaguhl'uujaangaa                  ñáaguhl+V+BIASED+INTERROGATIVE+PAST+HABITUAL
: ñáaguhläsaa'us                     ñáaguhl+V+BIASED+INTERROGATIVE+FUTURE
: ñáaguhläsaa'ahlans                 ñáaguhl+V+CERTAIN+FUTURE
: ñáaguhläseehl                      ñáaguhl+V+FUTURE+REFLEXIVE+INTERROGATIVE
: ñáaguhl'uu                         ñáaguhl+V+PLURAL+IMPERATIVE
: ñáaguhl'waa                        ñáaguhl+V+3rd_PERSON_PLURAL+IMMEDIATE+PRESENT
: ñáaguhl'waa                        ñáaguhl+V+3rd_PERSON_PLURAL+INTERROGATIVE+SIMPLE+PRESENT
: ñáaguhl'waang                      ñáaguhl+V+3rd_PERSON_PLURAL+SIMPLE+PRESENT
: ñáaguhl'wägan                      ñáaguhl+V+3rd_PERSON_PLURAL+DIRECT+PAST
: ñáaguhl'aawaa                      ñáaguhl+V+3rd_PERSON_PLURAL+INTERROGATIVE+PAST
: ñáaguhl'aawaan                     ñáaguhl+V+3rd_PERSON_PLURAL+INDIRECT+PAST
: ñáaguhl'waas                       ñáaguhl+V+3rd_PERSON_PLURAL+RELATIVE
: ñáaguhl'aawaas                     ñáaguhl+V+3rd_PERSON_PLURAL+RELATIVE+EVIDENTIAL
: ñáaguhl'waa.ang                    ñáaguhl+V+3rd_PERSON_PLURAL+NON_FACTIVE
: ñáaguhl'aawaa.ang                  ñáaguhl+V+3rd_PERSON_PLURAL+PAST+NON_FACTIVE
: ñáaguhl'wägiinii                   ñáaguhl+V+3rd_PERSON_PLURAL+DIRECT+PAST+HABITUAL
: ñáaguhl'wägaangaa                  ñáaguhl+V+3rd_PERSON_PLURAL+INTERROGATIVE+PAST+HABITUAL
: ñáaguhl'wägaangaan                 ñáaguhl+V+3rd_PERSON_PLURAL+INDIRECT+PAST+HABITUAL
: ñáaguhl'waaäsaa                    ñáaguhl+V+3rd_PERSON_PLURAL+INTERROGATIVE+FUTURE+LONG
: ñáaguhl'waaäs                      ñáaguhl+V+3rd_PERSON_PLURAL+INTERROGATIVE+FUTURE+SHORT
: ñáaguhl'waaäsaang                  ñáaguhl+V+3rd_PERSON_PLURAL+SIMPLE+FUTURE
: ñáaguhl'waaäsga                    ñáaguhl+V+3rd_PERSON_PLURAL+IMMEDIATE+FUTURE
: ñáaguhl'waaäsaas                   ñáaguhl+V+3rd_PERSON_PLURAL+RELATIVE+FUTURE
: ñáaguhl'waaäsaa.ang                ñáaguhl+V+3rd_PERSON_PLURAL+FUTURE+NON_FACTIVE
: ñáaguhl'waa.ang ñasa'áa            ñáaguhl+V+3rd_PERSON_PLURAL+INTERROGATIVE+NEAR+FUTURE
: ñáaguhl'waa.ang ñasa'áang          ñáaguhl+V+3rd_PERSON_PLURAL+NEAR+FUTURE
: ñáaguhl'waa.ang ñasaasdláa         ñáaguhl+V+3rd_PERSON_PLURAL+INTERROGATIVE+VERYNEAR+FUTURE
: ñáaguhl'waa.ang ñasaasdláang       ñáaguhl+V+3rd_PERSON_PLURAL+VERYNEAR+FUTURE
: ñáaguhl'waa'uuj                    ñáaguhl+V+3rd_PERSON_PLURAL+BIASED+IMMEDIATE+PRESENT
: ñáaguhl'waa'uujang                 ñáaguhl+V+3rd_PERSON_PLURAL+BIASED+SIMPLE+PRESENT
: ñáaguhl'waaäsaa'uujang             ñáaguhl+V+3rd_PERSON_PLURAL+RESIGNED_OBLIGATION
: ñáaguhl'waa'us                     ñáaguhl+V+3rd_PERSON_PLURAL+BIASED+INTERROGATIVE+PRESENT
: ñáaguhl'waa'ujaa                   ñáaguhl+V+3rd_PERSON_PLURAL+BIASED+INTERROGATIVE+PAST
: ñáaguhl'waa'uujaangaa              ñáaguhl+V+3rd_PERSON_PLURAL+BIASED+INTERROGATIVE+PAST+HABITUAL
: ñáaguhl'waaäsaa'us                 ñáaguhl+V+3rd_PERSON_PLURAL+BIASED+INTERROGATIVE+FUTURE
: ñáaguhl'waa'ahlanggang             ñáaguhl+V+3rd_PERSON_PLURAL+CERTAIN+PRESENT
: ñáaguhl'waa'ahlanggan              ñáaguhl+V+3rd_PERSON_PLURAL+CERTAIN+PAST
: ñáaguhl'waa'ahlanggiinii           ñáaguhl+V+3rd_PERSON_PLURAL+CERTAIN+PAST+HABITUAL
: ñáaguhl'waaäsaa'ahlans             ñáaguhl+V+3rd_PERSON_PLURAL+CERTAIN+FUTURE
: ñáaguhl'waa'ahlans                 ñáaguhl+V+3rd_PERSON_PLURAL+CERTAIN+RELATIVE
: ñáaguhl'aawaa'ahlang               ñáaguhl+V+3rd_PERSON_PLURAL+INTENSIVE+PAST
: ñáaguhl'aawaa'ahlanggaa            ñáaguhl+V+3rd_PERSON_PLURAL+SHOULD_KEEP_ON_VERBING_FOR_A_WHILE
: ñáaguhl'aawaa'ahlanggang           ñáaguhl+V+3rd_PERSON_PLURAL+COUNTERFACTUAL+PRESENT
: ñáaguhl'waa'ahl                    ñáaguhl+V+3rd_PERSON_PLURAL+REFLEXIVE
: ñáaguhl'waaäseehl                  ñáaguhl+V+3rd_PERSON_PLURAL+FUTURE+REFLEXIVE+INTERROGATIVE
: ñáaguhl'ang                        ñáaguhl+V+NEGATIVE+SINGULAR+IMPERATIVE
: ñáaguhl'angga                      ñáaguhl+V+NEGATIVE+IMMEDIATE+PRESENT
: ñáaguhl'ang                        ñáaguhl+V+NEGATIVE+INTERROGATIVE+SIMPLE+PRESENT
: ñáaguhl'anggang                    ñáaguhl+V+NEGATIVE+SIMPLE+PRESENT
: ñáaguhl'anggan                     ñáaguhl+V+NEGATIVE+DIRECT+PAST
: ñáaguhl'aangaa                     ñáaguhl+V+NEGATIVE+INTERROGATIVE+PAST
: ñáaguhl'aangaan                    ñáaguhl+V+NEGATIVE+INDIRECT+PAST
: ñáaguhl'ans                        ñáaguhl+V+NEGATIVE+RELATIVE
: ñáaguhl'aangaas                    ñáaguhl+V+NEGATIVE+RELATIVE+EVIDENTIAL
: ñáaguhl'angang                     ñáaguhl+V+NEGATIVE+NON_FACTIVE
: ñáaguhl'aangaa.ang                 ñáaguhl+V+NEGATIVE+PAST+NON_FACTIVE
: ñáaguhl'anggang                    ñáaguhl+V+NEGATIVE+INTERROGATIVE+PRESENT+HABITUAL
: ñáaguhl'anggiinii                  ñáaguhl+V+NEGATIVE+DIRECT+PAST+HABITUAL
: ñáaguhl'anggaangaa                 ñáaguhl+V+NEGATIVE+INTERROGATIVE+PAST+HABITUAL
: ñáaguhl'anggaangaan                ñáaguhl+V+NEGATIVE+INDIRECT+PAST+HABITUAL
: ñáaguhl'angäsaa                    ñáaguhl+V+NEGATIVE+INTERROGATIVE+FUTURE+LONG
: ñáaguhl'angäs                      ñáaguhl+V+NEGATIVE+INTERROGATIVE+FUTURE+SHORT
: ñáaguhl'angäsaang                  ñáaguhl+V+NEGATIVE+SIMPLE+FUTURE
: ñáaguhl'angäsga                    ñáaguhl+V+NEGATIVE+IMMEDIATE+FUTURE
: ñáaguhl'angäsaas                   ñáaguhl+V+NEGATIVE+RELATIVE+FUTURE
: ñáaguhl'angäsaa.ang                ñáaguhl+V+NEGATIVE+FUTURE+NON_FACTIVE
: ñáaguhl'ang'uuj                    ñáaguhl+V+NEGATIVE+BIASED+IMMEDIATE+PRESENT
: ñáaguhl'ang'uujang                 ñáaguhl+V+NEGATIVE+BIASED+SIMPLE+PRESENT
: ñáaguhl'angäsaa'uujang             ñáaguhl+V+NEGATIVE+RESIGNED_OBLIGATION
: ñáaguhl'ang'us                     ñáaguhl+V+NEGATIVE+BIASED+INTERROGATIVE+PRESENT
: ñáaguhl'ang'ujaa                   ñáaguhl+V+NEGATIVE+BIASED+INTERROGATIVE+PAST
: ñáaguhl'ang'uujaangaa              ñáaguhl+V+NEGATIVE+BIASED+INTERROGATIVE+PAST+HABITUAL
: ñáaguhl'angäsaa'us                 ñáaguhl+V+NEGATIVE+BIASED+INTERROGATIVE+FUTURE
: ñáaguhl'aang'ahlanggang            ñáaguhl+V+NEGATIVE+CERTAIN+PRESENT
: ñáaguhl'aang'ahlanggan             ñáaguhl+V+NEGATIVE+CERTAIN+PAST
: ñáaguhl'aang'ahlanggiinii          ñáaguhl+V+NEGATIVE+CERTAIN+PAST+HABITUAL
: ñáaguhl'angäsaa'ahlans             ñáaguhl+V+NEGATIVE+CERTAIN+FUTURE
: ñáaguhl'aang'ahlans                ñáaguhl+V+NEGATIVE+CERTAIN+RELATIVE
: ñáaguhl'aangaa'ahlang              ñáaguhl+V+NEGATIVE+INTENSIVE+PAST
: ñáaguhl'aangaa'ahlanggaa           ñáaguhl+V+NEGATIVE+SHOULD_KEEP_ON_VERBING_FOR_A_WHILE
: ñáaguhl'aangaa'ahlanggang          ñáaguhl+V+NEGATIVE+COUNTERFACTUAL+PRESENT
: ñáaguhl'aang'ahl                   ñáaguhl+V+NEGATIVE+REFLEXIVE
: ñáaguhl'angäseehl                  ñáaguhl+V+NEGATIVE+FUTURE+REFLEXIVE+INTERROGATIVE
: ñáaguhl'ang'uu                     ñáaguhl+V+NEGATIVE+PLURAL+IMPERATIVE
: ñáaguhl'ang'waa                    ñáaguhl+V+NEGATIVE+3rd_PERSON_PLURAL+IMMEDIATE+PRESENT
